koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition
0.660179,1.6349369,473.0939303,6.1672487,5717.1532477,252487.7638842,8598.7,4.1,2.62432,FALSE POSITIVE
10.9278415,2.468,2743.0,49.1695,1129.0,270.142,6259.0,3.59,2.92,FALSE POSITIVE
1.32003,3.175,552.468,,,,,,,FALSE POSITIVE
1.6865822,2.429,1770.0,,,,,,,FALSE POSITIVE
13.0727479,3.044,4080.0,35.7944,1074.0,221.343,5709.8,3.37,3.59,FALSE POSITIVE
2.9258727,4.075,6720.0,24.4055,2066.0,3028.51,4884.5,,1.3,FALSE POSITIVE
0.73774,0.636,524.852,5.28215,,,6449.5,3.94,2.1,FALSE POSITIVE
2.3664127,2.591,300.0,,,,,,,FALSE POSITIVE
3.2077145,2.708,9640.0,,,,,,,FALSE POSITIVE
1.8824539,2.46,1391.0,8.29008,3091.0,15173.2,5900.4,4.39,1.13,FALSE POSITIVE
15.196,1.792,1970.0,4.96345,,,5807.0,,1.14,FALSE POSITIVE
2.1358631,1.559,10325.0,23.6019,1745.0,1540.95,5969.0,4.17,1.5,FALSE POSITIVE
1.8296155,2.166,1406.0,29.3616,3751.0,32867.0,7875.0,3.61,3.5,FALSE POSITIVE
11.1876137,3.183,4924.0,31.8624,1499.0,838.609,7266.0,4.06,2.05,FALSE POSITIVE
7.8513949,6.835,22029.0,,,,,,,FALSE POSITIVE
7.0643978,2.424,8268.0,9.39131,890.0,104.311,5429.6,4.44,0.96,CONFIRMED
8.9534775,2.696,1136.0,2.35888,723.0,45.5604,5029.5,4.61,0.76,CONFIRMED
7.5022708,2.605,1760.0,5.55812,940.0,129.866,6229.0,4.31,1.27,FALSE POSITIVE
1.692892,2.886,1418.0,11.2371,5800.0,187927.0,9121.5,4.21,2.1,FALSE POSITIVE
2.6652007,3.49,819.0,2.35964,2045.0,2905.35,4043.4,4.69,0.56,FALSE POSITIVE
6.0344667,1.89,1800.0,4.44029,788.0,64.2648,5586.0,4.36763,1.05,CONFIRMED
9.6867516,2.512,1669.0,3.00336,707.0,41.6645,4738.1,4.59,0.73,CONFIRMED
2.1031647,5.059,7142.0,16.7087,3037.0,14140.0,6122.0,3.93,1.93,CONFIRMED
7.6416041,2.654,6025.0,27.538,1303.0,478.683,6496.7,,2.05,FALSE POSITIVE
5.9294088,2.933,10226.0,10.8101,,456.893,5095.6,,1.06,FALSE POSITIVE
5.7484439,1.76,1041.0,2.35215,820.0,75.272,4534.0,4.61,0.69,CONFIRMED
1.1967018,1.879,824.0,10.3239,3534.0,25917.9,5997.0,4.0,1.73,FALSE POSITIVE
11.2464616,7.391,7576.0,17.6677,1218.0,365.938,6115.7,3.89,2.01,FALSE POSITIVE
8.5112,3.486,4172.76,,,,8156.0,4.35,,FALSE POSITIVE
15.7335693,3.288,2540.0,24.3218,1219.0,367.588,6800.0,3.91,2.21,FALSE POSITIVE
2.2219839,1.996,4394.0,15.4416,,7790.56,7166.8,,1.87,FALSE POSITIVE
2.3106428,1.294,6911.0,8.76741,1052.0,203.685,5339.9,4.41,0.99,CONFIRMED
4.05135,2.4,1132.23,14.2359,,,4974.4,,3.85,FALSE POSITIVE
3.6714717,2.149,4340.0,10.678,1182.0,324.114,5618.0,4.06,1.54,CONFIRMED
11.535076,8.555958,2389.90616,12.215808,,,5479.3,3.77,2.48771,CONFIRMED
0.8352406,1.043,2065.0,6.4875,2345.0,5021.63,6105.0,4.31,1.24,FALSE POSITIVE
2.4919771,1.4338141,2093.9594201,2.2187585,639.9817426,39.6452664,3948.0,4.68962,0.482388,CONFIRMED
,2.726775,878.134108,1.710706,448.0162269,9.5212941,3773.0,4.438,0.577983,FALSE POSITIVE
25.5195307,6.6877451,558.3758637,2.9641461,662.8890748,45.6335702,5742.22,4.29,1.17321,CONFIRMED
0.831542,1.985538,248.969585,1.881684,1999.3796659,3776.6095365,5824.0,4.438,1.1512,FALSE POSITIVE
79.3739596,5.392,1227.0,2.17454,368.0,3.05331,5168.33,4.60584,0.77,FALSE POSITIVE
27.2149622,3.7190483,4731.4046225,8.3475973,573.0537137,25.4860381,6270.0,4.54537,0.989667,FALSE POSITIVE
5.0780325,1.2100353,5923.1283069,2.6347763,431.253644,8.1743139,3318.0,4.9581,0.334125,CONFIRMED
91.6827832,9.7504857,713.2183569,3.239855,399.0780255,5.9944903,5802.0,4.44521,1.01814,CONFIRMED
14.64319,2.5483426,242.7923919,3.41248,1134.2791474,391.2017546,6516.0,3.99366,2.04178,FALSE POSITIVE
4.1782656,1.675904,2537.6781602,2.1023854,492.7241583,13.9295288,3442.0,4.893,0.404403,CONFIRMED
17.9453645,3.0740072,5480.684864,3.3839124,303.1226876,1.9952383,3442.0,4.893,0.404403,CONFIRMED
27.3613778,4.0586418,20690.6684294,6.4522449,243.7718547,0.8345555,3050.0,4.438,0.44128,CONFIRMED
29.0497517,7.117,318.0,2.84674,1115.0,257.066,8208.0,4.25979,1.8,CONFIRMED
3.3088922,6.114,4736.0,24.9862,3184.0,17074.7,6188.0,4.27166,2.62,CONFIRMED
25.0571312,7.5424225,533.486013,3.2396838,688.6094029,53.1389289,5696.0,4.26563,1.15281,CONFIRMED
24.2454967,3.3725583,6260.6703602,3.878568,122.2177444,0.05273,3535.0,4.84874,0.465271,CONFIRMED
14.1758947,3.7543827,907.1324529,2.6231641,690.9961983,53.8795095,5723.87,4.438,0.864173,CONFIRMED
19.5901578,4.002861,1182.6678641,3.0026428,620.3638839,35.0031418,5723.87,4.438,0.864173,CONFIRMED
6.2036219,3.01098,548.9044399,2.056748,910.1452592,162.1675094,5723.87,4.438,0.864173,CONFIRMED
3.79589,2.4602856,317.5272928,1.553135,1072.0653989,312.1807495,5723.87,4.438,0.864173,CONFIRMED
2.2645386,3.8193701,15019.9420903,5.1936764,616.7174475,34.1873897,3443.0,4.81617,0.411471,FALSE POSITIVE
3.4447015,1.912,796.0,2.00495,1086.0,231.437,3912.0,4.62642,0.63,CONFIRMED
3.2947689,1.7483103,1324.0402774,2.5248559,700.5995436,56.9377632,3853.0,4.63168,0.62326,CONFIRMED
0.7645807,1.07057,394.9832006,1.2407226,1140.0845694,399.2723837,3853.0,4.63168,0.62326,CONFIRMED
12.6396982,3.3830702,3292.6812864,4.6025162,640.0266601,39.6563977,5217.0,4.59186,0.789425,CONFIRMED
6.4002807,2.1559875,1026.6018729,2.2730301,699.0536347,56.4368797,4599.0,4.58487,0.720551,CONFIRMED
18.6548829,5.4431451,1495.4449473,4.3869878,585.8091542,27.832077,5141.0,4.49143,0.876154,CONFIRMED
4.3074513,2.3379196,1094.8419495,3.2819879,954.8757629,196.4755358,5141.0,4.49143,0.876154,CONFIRMED
5.9041278,2.7678313,773.9266468,2.4489454,859.6105665,129.0410781,5141.0,4.49143,0.876154,CONFIRMED
37.9251983,3.5345219,1370.7888539,3.241643,462.4282696,10.8068346,5141.0,4.49143,0.876154,CONFIRMED
15.9234883,4.021,493.0,2.18203,735.0,48.5414,5711.85,4.38315,1.08,CONFIRMED
4.3601536,2.3408909,5592.2909183,6.9564258,961.6063113,202.0738994,5227.0,4.50479,0.874131,CONFIRMED
13.0791581,2.97,1143.0,3.25485,735.0,48.6058,5453.0,4.41707,1.0,CONFIRMED
4.6517186,2.709,978.0,2.66889,1343.0,540.772,5154.0,4.47072,0.85,CONFIRMED
9.1549418,2.457,1101.0,2.62011,710.0,42.2592,5154.0,4.47072,0.85,CONFIRMED
19.9815709,2.724,909.0,2.54717,562.0,16.5853,5154.0,4.47072,0.85,CONFIRMED
4.6756655,1.914,738.0,4.03134,1085.0,230.204,5779.0,4.88162,1.45,FALSE POSITIVE
10.288886,1.391,854.0,2.63881,483.0,9.06856,5126.0,4.49772,0.87,CONFIRMED
1.0332441,3.8017836,26111.5081972,4.087988,516.1833775,16.7778791,2972.0,5.15741,0.156193,FALSE POSITIVE
3.4779776,2.5103489,27021.6932424,12.5541925,897.2038496,153.1388971,4699.0,4.54638,0.765001,CONFIRMED
3.1274634,1.9812695,1331.83693,2.5802896,813.0378617,103.2675998,4225.0,4.5756,0.693431,CONFIRMED
7.4931613,1.9339295,1650.6470497,2.7733674,607.6028794,32.2107098,4225.0,4.5756,0.693431,CONFIRMED
49.825166,3.8714976,2059.4069037,3.8319135,323.1161011,2.5760566,4225.0,4.5756,0.693431,CONFIRMED
10.8948421,2.0719394,3168.3853584,2.4691414,390.8242112,5.5137471,3618.0,4.79432,0.435666,CONFIRMED
18.8016111,1.9093524,1686.7881033,1.9112282,325.8292621,2.6636757,3618.0,4.79432,0.435666,CONFIRMED
8.157721,3.788,10273.0,9.31888,860.0,91.0972,5091.2,4.47,0.9,CONFIRMED
4.2529641,2.5733867,758.584999,2.3483383,994.5309519,231.2034004,5591.0,4.38111,0.848906,CONFIRMED
3.7955178,2.0198135,52278.9940979,10.3261619,525.9431131,18.0832336,3424.0,4.438,0.445372,CONFIRMED
14.3034613,3.135,48840.0,18.4949,551.0,15.38,5056.6,4.53,0.83,FALSE POSITIVE
3.3159772,1.494,2770.0,4.5947,923.0,120.595,4972.7,4.54,0.81,CONFIRMED
4.6313014,1.435,4860.0,9.34848,1078.0,225.013,5736.0,4.39,1.07,CONFIRMED
14.4751062,1.6182484,9618.5798534,8.6976173,407.866275,6.5402175,3841.0,4.69364,0.55035,CONFIRMED
9.6141636,3.4271882,933.6532689,3.2264735,749.8978043,74.7359105,5477.0,4.5707,0.840608,CONFIRMED
4.9404714,1.954,455.0,2.3216,1178.0,320.012,6086.0,4.26269,1.13,CONFIRMED
